phoneme,total,HI,GU,MR
a,209515,53285,62446,93784
aa,44658,8983,12477,23198
r,21980,6052,6842,9086
n,16697,3838,7208,5651
ii,16290,3596,5613,7081
ee,15391,3685,5112,6594
t,14454,3709,3381,7364
k,13148,3669,4076,5403
q,13115,3093,4443,5579
s,12075,3380,3686,5009
w,11857,2113,3870,5874
i,11814,4176,3479,4159
l,11631,2981,2665,5985
y,11121,2098,2467,6556
m,11009,2882,4170,3957
o,9499,2455,4492,2552
p,8886,2347,2647,3892
c,8008,1068,992,5948
u,7759,2197,2666,2896
d,6149,1937,1622,2590
g,5706,1732,1653,2321
h,5192,1499,1187,2506
j,5167,1484,1684,1999
b,5082,1735,1401,1946
tx,4925,1448,1802,1675
dx,4232,807,1470,1955
sh,4202,1074,1321,1807
nx,3815,467,977,2371
uu,3775,1023,823,1929
dh,2766,660,800,1306
kh,2449,686,690,1073
bh,2331,590,715,1026
sx,2094,504,619,971
lx,2073,0,680,1393
th,1860,375,938,547
ph,1501,452,630,419
txh,1337,282,298,757
gh,1153,255,284,614
ei,939,478,163,298
jh,892,223,378,291
dxh,726,186,172,368
ch,658,297,256,105
ou,576,295,137,144
rq,533,230,0,303
mq,477,437,5,35
dxq,430,430,0,0
z,300,300,0,0
nj,299,104,130,65
hq,238,82,83,73
f,235,232,0,3
dxhq,189,189,0,0
kq,142,141,0,1
khq,126,126,0,0
ax,110,44,38,28
ng,87,82,1,4
gq,59,59,0,0
ae,25,0,25,0
