Total unique phonemes: 57
Total phoneme tokens: 541,757

Phoneme         Total       HI       GU       MR
--------------------------------------------------
a             209,515   53,285   62,446   93,784
aa             44,658    8,983   12,477   23,198
r              21,980    6,052    6,842    9,086
n              16,697    3,838    7,208    5,651
ii             16,290    3,596    5,613    7,081
ee             15,391    3,685    5,112    6,594
t              14,454    3,709    3,381    7,364
k              13,148    3,669    4,076    5,403
q              13,115    3,093    4,443    5,579
s              12,075    3,380    3,686    5,009
w              11,857    2,113    3,870    5,874
i              11,814    4,176    3,479    4,159
l              11,631    2,981    2,665    5,985
y              11,121    2,098    2,467    6,556
m              11,009    2,882    4,170    3,957
o               9,499    2,455    4,492    2,552
p               8,886    2,347    2,647    3,892
c               8,008    1,068      992    5,948
u               7,759    2,197    2,666    2,896
d               6,149    1,937    1,622    2,590
g               5,706    1,732    1,653    2,321
h               5,192    1,499    1,187    2,506
j               5,167    1,484    1,684    1,999
b               5,082    1,735    1,401    1,946
tx              4,925    1,448    1,802    1,675
dx              4,232      807    1,470    1,955
sh              4,202    1,074    1,321    1,807
nx              3,815      467      977    2,371
uu              3,775    1,023      823    1,929
dh              2,766      660      800    1,306
kh              2,449      686      690    1,073
bh              2,331      590      715    1,026
sx              2,094      504      619      971
lx              2,073        0      680    1,393
th              1,860      375      938      547
ph              1,501      452      630      419
txh             1,337      282      298      757
gh              1,153      255      284      614
ei                939      478      163      298
jh                892      223      378      291
dxh               726      186      172      368
ch                658      297      256      105
ou                576      295      137      144
rq                533      230        0      303
mq                477      437        5       35
dxq               430      430        0        0
z                 300      300        0        0
nj                299      104      130       65
hq                238       82       83       73
f                 235      232        0        3
dxhq              189      189        0        0
kq                142      141        0        1
khq               126      126        0        0
ax                110       44       38       28
ng                 87       82        1        4
gq                 59       59        0        0
ae                 25        0       25        0
